["2026-05-08T12:00:00.000Z", 14.482320000000016]
["2026-05-08T13:00:00.000Z", 14.723749999999995]
["2026-05-08T14:00:00.000Z", 15.003870000000006]
["2026-05-08T15:00:00.000Z", 14.796530000000018]
["2026-05-08T16:00:00.000Z", 14.523600000000044]
["2026-05-08T17:00:00.000Z", 13.889250000000004]
["2026-05-08T18:00:00.000Z", 13.687040000000025]
["2026-05-08T19:00:00.000Z", 13.32710000000003]
["2026-05-08T20:00:00.000Z", 12.367400000000032]
["2026-05-08T21:00:00.000Z", 11.363730000000032]
["2026-05-08T22:00:00.000Z", 10.751250000000027]
["2026-05-08T23:00:00.000Z", 10.303300000000036]
["2026-05-09T00:00:00.000Z", 10.667470000000037]
["2026-05-09T01:00:00.000Z", 10.34023000000002]
["2026-05-09T02:00:00.000Z", 10.26556000000005]
["2026-05-09T03:00:00.000Z", 10.453400000000045]
["2026-05-09T04:00:00.000Z", 10.187220000000025]
["2026-05-09T05:00:00.000Z", 10.754080000000044]
["2026-05-09T06:00:00.000Z", 11.16744]
["2026-05-09T07:00:00.000Z", 11.85504000000003]
["2026-05-09T08:00:00.000Z", 12.248220000000003]
["2026-05-09T09:00:00.000Z", 12.751640000000009]
["2026-05-09T10:00:00.000Z", 13.219480000000033]
["2026-05-09T11:00:00.000Z", 13.738850000000014]
["2026-05-09T12:00:00.000Z", 14.350999999999999]
["2026-05-09T13:00:00.000Z", 14.75630000000001]
["2026-05-09T14:00:00.000Z", 15.012020000000007]
["2026-05-09T15:00:00.000Z", 14.918450000000007]
["2026-05-09T16:00:00.000Z", 14.753350000000012]
["2026-05-09T17:00:00.000Z", 14.60354000000001]
["2026-05-09T18:00:00.000Z", 14.172540000000026]
["2026-05-09T19:00:00.000Z", 12.996759999999995]
["2026-05-09T20:00:00.000Z", 12.29403000000002]
["2026-05-09T21:00:00.000Z", 12.110130000000026]
["2026-05-09T22:00:00.000Z", 11.952480000000037]
["2026-05-09T23:00:00.000Z", 11.58140000000003]
["2026-05-10T00:00:00.000Z", 10.970760000000041]
["2026-05-10T01:00:00.000Z", 10.710380000000043]
["2026-05-10T02:00:00.000Z", 10.900400000000047]
["2026-05-10T03:00:00.000Z", 10.999700000000018]
["2026-05-10T04:00:00.000Z", 10.597200000000043]
["2026-05-10T05:00:00.000Z", 10.828120000000013]
["2026-05-10T06:00:00.000Z", 11.633399999999995]
["2026-05-10T07:00:00.000Z", 12.575400000000002]
["2026-05-10T08:00:00.000Z", 12.95016000000004]
["2026-05-10T09:00:00.000Z", 11.30618000000004]
["2026-05-10T10:00:00.000Z", 10.37560000000002]
["2026-05-10T11:00:00.000Z", 12.71234000000004]
["2026-05-10T12:00:00.000Z", 12.83462000000003]
["2026-05-10T13:00:00.000Z", 13.115350000000035]
["2026-05-10T14:00:00.000Z", 13.25260000000003]
["2026-05-10T15:00:00.000Z", 13.6841]
["2026-05-10T16:00:00.000Z", 13.191580000000044]
["2026-05-10T17:00:00.000Z", 12.06844000000001]
["2026-05-10T18:00:00.000Z", 10.661740000000009]
["2026-05-10T19:00:00.000Z", 9.17190000000005]
["2026-05-10T20:00:00.000Z", 7.77642000000003]
["2026-05-10T21:00:00.000Z", 6.669600000000003]
["2026-05-10T22:00:00.000Z", 5.846600000000024]
["2026-05-10T23:00:00.000Z", 5.186149999999998]
["2026-05-11T00:00:00.000Z", 4.717200000000048]
